local_time,sentiment,sentimentscore,nature,naturescore,text,retweet_count,like_count,reply_count,hashtags
2021-11-23 14:15:07,Negative,0.6439892649650574,Problem,0.6661596894264221,"En avril 2022, ne vous faites plus avoir collectivement.
https://www.europe1.fr/politique/on-sest-parfois-fait-avoir-collectivement-dit-macron-a-des-ex-whirlpool-a-amiens-4078375",532.0,1975.0,118.0,
2021-11-23 11:35:34,Neutral,0.8131531476974487,Other,0.9402994513511658,"Hier matin, j'étais l'invité de @Marcfauvelle et @salhiabrakhlia sur @franceinfo.

Pour voir ou revoir mon entretien rendez-vous sur ma chaîne YouTube :
➡️https://youtu.be/ePjGEV9VFBM

#DirectZemmour https://twitter.com/ZemmourEric/status/1463108961025077253/photo/1",248.0,860.0,79.0,directzemmour
2021-11-23 08:36:02,Positive,0.5844367742538452,Other,0.5074601173400879,"Les communistes n'ont pas changé. Ils exécrent toujours autant la démocratie et la liberté. « Valeurs: 🔴 Présidentielle 2022 : Fabien Roussel (PCF) félicite les maires qui refusent des salles pour les meetings de Marine Le Pen et Eric Zemmour ↩️

https://buff.ly/3cA9hur — https://twitter.com/Valeurs/status/1462538865277820933 »",1216.0,4705.0,214.0,
2021-11-22 14:10:12,Positive,0.8174189329147339,Solution,0.4882674217224121,"Après 4 ans et demi de surdité idéologique, la Macronie décide d'écouter. Ça tombe bien, la France a un mot à lui dire. « enmarchefr: Notre engagement : vous écouter pour avancer ! C'est pourquoi nous avons lancé une grande opération d'écoute.

➡️ Participez à « 5 ans à l'écoute » ici : http://5ansdeplus.fr

#5ansalecoute https://twitter.com/enmarchefr/status/1462707465083133961/video/1 — https://twitter.com/enmarchefr/status/1462707465083133961 »",611.0,2515.0,250.0,5ansalecoute
2021-11-22 13:41:47,Positive,0.416873037815094,Other,0.8002971410751343,"Merci @CarolineConnan de m'avoir reçu chez @BloombergTV.

Retrouvez l'intégralité de mon entretien ici :
https://www.bloomberg.com/news/videos/2021-11-22/eric-zemmour-on-brexit-trade-and-the-economy-video « BloombergTV: ""I'm not upset that I'm compared to Donald Trump but always makes me laugh because you should always compare me to Boris Johnson,"" says author and possible French Presidential candidate Eric Zemmour. He speaks to @CarolineConnan in a wide-ranging interview https://trib.al/vPABr8T https://twitter.com/BloombergTV/status/1462713443518140423/video/1 — https://twitter.com/BloombergTV/status/1462713443518140423 »",402.0,1388.0,72.0,
2021-11-22 08:47:55,Negative,0.4503224194049835,Problem,0.7556360960006714,"C'est une habileté tactique d'Emmanuel Macron et des médias de remettre la question de la crise sanitaire sur le tapis pour changer de sujet. Depuis que je suis rentré dans l'arène, on ne parle que d'immigration. Donc le covid permet de changer d'agenda.
#DirectZemmour https://twitter.com/ZemmourEric/status/1462704384081600513/video/1",879.0,2850.0,207.0,directzemmour
2021-11-22 08:45:33,Negative,0.9559390544891356,Problem,0.8218365907669067,"Puisqu'il n'y a pas d'obligation vaccinale, pourquoi obliger les soignants à se vacciner en #Guadeloupe, comme partout en France ? On a beaucoup joué avec la peur des gens. C'est très excessif.
#DirectZemmour https://twitter.com/ZemmourEric/status/1462703788033253382/video/1",2104.0,6273.0,606.0,directzemmour|guadeloupe
2021-11-22 08:37:48,Positive,0.7431580424308777,Other,0.8111518621444702,"Je suis fier d'être un « débutant » en tant qu'homme politique car moi, je ne suis pas abimé par les luttes politiciennes, les luttes partisanes, les calculs et les petites compromissions.
#DirectZemmour https://twitter.com/ZemmourEric/status/1462701836763377668/video/1",588.0,2320.0,119.0,directzemmour
2021-11-21 21:28:53,Negative,0.8531891703605652,Other,0.834457278251648,"Cher Éric, merci pour la sincérité de ton soutien ! « ECiotti: Oui je suis en colère ! 

Une fatwa contre @ZemmourEric ?

Aucune réaction du président et de ses ministres. 

Parce que c’est Éric Zemmour et qu’on est pas d’accord avec lui, on peut l’assassiner ? #DebatLR #CongresLR https://twitter.com/ECiotti/status/1462531077789163520/video/1 — https://twitter.com/ECiotti/status/1462531077789163520 »",2225.0,9075.0,310.0,congreslr|debatlr
2021-11-21 20:38:56,Neutral,0.7497897744178772,Other,0.9507450461387634,#LaDroiteAvecZemmour https://twitter.com/ZemmourEric/status/1462520929108566019/photo/1,789.0,3394.0,118.0,ladroiteaveczemmour
